Model_y,Make_y,Year,atvType,cylinders,displ,trany,VehicleID,AdjWeight,comb08,combinedUF,combE,highway08U,rangeHwyA,RangeHwy,Range,city08U,UCity,UHighway
Levante GT,Maserati,2023,ICE,6.0,3.0,Automatic 8-spd,45392,5250.0,18.0,0.0,0.0,21.626,0.0,0.0,0.0,15.5613,19.28,30.07
Levante Modena V8,Maserati,2023,ICE,8.0,3.8,Automatic 8-spd,45393,5250.0,16.0,0.0,0.0,19.5576,0.0,0.0,0.0,13.4955,16.57,26.36
Levante Trofeo,Maserati,2023,ICE,8.0,3.8,Automatic 8-spd,45394,5250.0,16.0,0.0,0.0,19.5576,0.0,0.0,0.0,13.4955,16.57,26.36
Z,Nissan,2023,ICE,6.0,3.0,Manual 6-spd,45399,3916.666666666667,20.0,0.0,0.0,24.134,0.0,0.0,0.0,18.1909,22.8,33.8482
Z,Nissan,2023,ICE,6.0,3.0,Automatic (S9),45400,3916.666666666667,22.0,0.0,0.0,28.0463,0.0,0.0,0.0,19.0,25.1237,39.8745
A3,Audi,2023,HEV,4.0,2.0,Automatic (AM-S7),45401,3687.5,32.0,0.0,0.0,37.8418,0.0,0.0,0.0,28.4953,36.9,53.4
A3 quattro,Audi,2023,HEV,4.0,2.0,Automatic (AM-S7),45402,3687.5,30.0,0.0,0.0,34.694,0.0,0.0,0.0,26.9361,33.8,49.2
Camaro,Chevrolet,2023,ICE,6.0,3.6,Automatic (S10),45403,4130.952380952381,22.0,0.0,0.0,28.7561,0.0,0.0,0.0,18.3273,22.9849,40.9857
Legacy AWD,Subaru,2023,ICE,4.0,2.5,Automatic (AV-S8),45404,3937.5,30.0,0.0,0.0,35.113,0.0,0.0,0.0,26.8517,34.9948,51.1893
Legacy AWD,Subaru,2023,ICE,4.0,2.4,Automatic (AV-S8),45405,3937.5,26.0,0.0,0.0,31.208,0.0,0.0,0.0,23.1504,29.6664,44.8668
Blazer FWD,Chevrolet,2023,ICE,4.0,2.0,Automatic 9-spd,45406,4375.0,25.0,0.0,0.0,29.3214,0.0,0.0,0.0,22.0,29.1772,41.8745
Blazer AWD,Chevrolet,2023,ICE,4.0,2.0,Automatic 9-spd,45407,4375.0,24.0,0.0,0.0,27.0,0.0,0.0,0.0,22.1096,28.2,40.0
Outback AWD,Subaru,2023,ICE,4.0,2.5,Automatic (AV-S8),45408,4166.666666666667,28.0,0.0,0.0,32.0676,0.0,0.0,0.0,25.6471,33.2409,46.2435
Outback AWD,Subaru,2023,ICE,4.0,2.4,Automatic (AV-S8),45409,4166.666666666667,25.0,0.0,0.0,29.0199,0.0,0.0,0.0,22.1096,28.2,41.4
Outback Wilderness AWD,Subaru,2023,ICE,4.0,2.4,Automatic (AV-S8),45410,4166.666666666667,23.0,0.0,0.0,26.2583,0.0,0.0,0.0,21.3942,27.2,37.1
Acadia FWD,GMC,2023,ICE,4.0,2.0,Automatic 9-spd,45411,4541.666666666666,25.0,0.0,0.0,29.3214,0.0,0.0,0.0,22.0,29.1772,41.8745
Acadia AWD,GMC,2023,ICE,4.0,2.0,Automatic 9-spd,45412,4541.666666666666,24.0,0.0,0.0,27.0,0.0,0.0,0.0,22.1096,28.2,40.0
Ghibli Modena AWD,Maserati,2023,ICE,6.0,3.0,Automatic 8-spd,45417,4916.666666666667,20.0,0.0,0.0,24.739,0.0,0.0,0.0,16.7388,20.8462,32.3086
Sonata,Hyundai,2023,ICE,4.0,1.6,Automatic (S8),45418,3678.819444444445,31.0,0.0,0.0,36.6221,0.0,0.0,0.0,26.8394,34.9769,53.6804
Sonata,Hyundai,2023,ICE,4.0,2.5,Automatic (S8),45419,3678.819444444445,31.0,0.0,0.0,36.8145,0.0,0.0,0.0,26.8552,35.0,54.0
Quattroporte Modena AWD,Maserati,2023,ICE,6.0,3.0,Automatic 8-spd,45421,5000.0,20.0,0.0,0.0,24.739,0.0,0.0,0.0,16.7388,20.8462,32.3086
Taos 4motion,Volkswagen,2023,ICE,4.0,1.5,Automatic (AM-S7),45422,3625.0,28.0,0.0,0.0,31.7913,0.0,0.0,0.0,24.8563,32.1,45.8
Vantage V12,Aston Martin,2023,ICE,12.0,5.2,Automatic 8-spd,45423,4000.0,16.0,0.0,0.0,21.7772,0.0,0.0,0.0,13.648,16.7694,30.2959
DBS,Aston Martin,2023,ICE,12.0,5.2,Automatic 8-spd,45424,4500.0,17.0,0.0,0.0,22.0071,0.0,0.0,0.0,14.3728,17.7156,30.6398
DB11 V12,Aston Martin,2023,ICE,12.0,5.2,Automatic 8-spd,45425,4500.0,17.0,0.0,0.0,22.0071,0.0,0.0,0.0,14.3728,17.7156,30.6398
S3,Audi,2023,ICE,4.0,2.0,Automatic (AM-S7),45428,3875.0,26.0,0.0,0.0,32.2208,0.0,0.0,0.0,23.0354,29.1,44.1
Giulia,Alfa Romeo,2023,ICE,4.0,2.0,Automatic 8-spd,45430,4000.0,27.0,0.0,0.0,32.63,0.0,0.0,0.0,23.5969,30.2997,47.1487
Giulia,Alfa Romeo,2023,ICE,6.0,2.9,Automatic 8-spd,45431,4000.0,20.0,0.0,0.0,25.4128,0.0,0.0,0.0,17.45,21.8,35.8
Giulia AWD,Alfa Romeo,2023,ICE,4.0,2.0,Automatic 8-spd,45432,4000.0,26.0,0.0,0.0,30.6012,0.0,0.0,0.0,22.5005,28.7492,43.9
XF P250,Jaguar,2023,ICE,4.0,2.0,Automatic (S8),45433,4250.0,28.0,0.0,0.0,33.1568,0.0,0.0,0.0,24.9259,32.2,48.0
XF P250 AWD,Jaguar,2023,ICE,4.0,2.0,Automatic (S8),45434,4250.0,26.0,0.0,0.0,32.0405,0.0,0.0,0.0,23.1035,29.6,46.2
XF P300 AWD,Jaguar,2023,ICE,4.0,2.0,Automatic (S8),45435,4250.0,25.0,0.0,0.0,30.4753,0.0,0.0,0.0,22.1096,28.2,43.7
Impreza 4-Door,Subaru,2023,ICE,4.0,2.0,Manual 5-spd,45436,3473.684210526316,26.0,0.0,0.0,31.2288,0.0,0.0,0.0,23.2447,29.8,44.9
Impreza 4-Door,Subaru,2023,ICE,4.0,2.0,Automatic (AV-S7),45437,3473.684210526316,32.0,0.0,0.0,36.3927,0.0,0.0,0.0,28.4813,37.3987,53.3
Impreza Sport 4-Door,Subaru,2023,ICE,4.0,2.0,Automatic (AV-S7),45438,3473.684210526316,30.0,0.0,0.0,35.7879,0.0,0.0,0.0,27.1281,35.4,52.3
Sonata,Hyundai,2023,ICE,4.0,2.5,Automatic (AM-S8),45439,3678.819444444445,27.0,0.0,0.0,32.5707,0.0,0.0,0.0,23.3028,28.9354,44.6338
Impreza 5-Door,Subaru,2023,ICE,4.0,2.0,Manual 5-spd,45440,3473.684210526316,26.0,0.0,0.0,30.9153,0.0,0.0,0.0,23.5971,30.3,44.4
Impreza 5-Door,Subaru,2023,ICE,4.0,2.0,Automatic (AV-S7),45441,3473.684210526316,31.0,0.0,0.0,35.8843,0.0,0.0,0.0,28.0225,36.7183,52.4592
Impreza Sport 5-Door,Subaru,2023,ICE,4.0,2.0,Manual 5-spd,45442,3473.684210526316,25.0,0.0,0.0,29.9708,0.0,0.0,0.0,22.3944,28.6,42.9
Impreza Sport 5-Door,Subaru,2023,ICE,4.0,2.0,Automatic (AV-S7),45443,3473.684210526316,30.0,0.0,0.0,35.0586,0.0,0.0,0.0,27.1962,35.5,51.1
MDX FWD,Acura,2023,ICE,6.0,3.5,Automatic (S10),45444,4750.0,22.0,0.0,0.0,26.3231,0.0,0.0,0.0,19.0,25.0,37.2
Stelvio,Alfa Romeo,2023,ICE,4.0,2.0,Automatic 8-spd,45445,4333.333333333334,25.0,0.0,0.0,29.1922,0.0,0.0,0.0,22.0,29.2431,41.671
MDX AWD,Acura,2023,ICE,6.0,3.5,Automatic (S10),45446,4750.0,21.0,0.0,0.0,25.0,0.0,0.0,0.0,18.6331,23.399999999999995,36.0
Stelvio AWD,Alfa Romeo,2023,ICE,4.0,2.0,Automatic 8-spd,45447,4333.333333333334,24.0,0.0,0.0,28.4782,0.0,0.0,0.0,21.8596,27.8499,40.5499
Stelvio AWD,Alfa Romeo,2023,ICE,6.0,2.9,Automatic 8-spd,45448,4333.333333333334,19.0,0.0,0.0,22.7798,0.0,0.0,0.0,16.9285,21.1,31.8
QX55 AWD,Infiniti,2023,ICE,4.0,2.0,Automatic (AV-S8),45449,4375.0,25.0,0.0,0.0,28.0,0.0,0.0,0.0,22.0,29.3302,40.6771
F-Pace,Jaguar,2023,ICE,4.0,2.0,Automatic (S8),45450,4875.0,24.0,0.0,0.0,26.6469,0.0,0.0,0.0,21.8954,27.883,37.7232
F-Pace P340 MHEV,Jaguar,2023,HEV,6.0,3.0,Automatic (S8),45451,4875.0,22.0,0.0,0.0,26.5822,0.0,0.0,0.0,19.6583,24.7501,37.5523
F-Pace P400 MHEV,Jaguar,2023,HEV,6.0,3.0,Automatic (S8),45452,4875.0,22.0,0.0,0.0,25.7386,0.0,0.0,0.0,19.3663,24.4,36.6
MDX AWD Type-S,Acura,2023,ICE,6.0,3.0,Automatic (S10),45456,4750.0,19.0,0.0,0.0,21.4883,0.0,0.0,0.0,17.0,22.7,32.1
TT Roadster,Audi,2023,ICE,4.0,2.0,Automatic (AM-S7),45463,3625.0,25.0,0.0,0.0,30.0171,0.0,0.0,0.0,22.6019,28.3551,41.888
Portofino M,Ferrari,2023,ICE,8.0,3.9,Automatic (AM8),45469,4250.0,19.0,0.0,0.0,22.8747,0.0,0.0,0.0,16.3243,20.293,31.9429
S5 Coupe,Audi,2023,ICE,6.0,3.0,Automatic (S8),45470,4333.333333333333,24.0,0.0,0.0,29.5692,0.0,0.0,0.0,21.2588,26.6609,39.7856
S5 Cabriolet,Audi,2023,ICE,6.0,3.0,Automatic (S8),45471,4333.333333333333,23.0,0.0,0.0,27.992499999999996,0.0,0.0,0.0,20.7723,25.600000000000005,37.7
RS 5 Coupe,Audi,2023,ICE,6.0,2.9,Automatic (S8),45472,5750.0,21.0,0.0,0.0,25.5051,0.0,0.0,0.0,17.7901,22.0469,35.5447
TT Coupe,Audi,2023,ICE,4.0,2.0,Automatic (AM-S7),45473,3625.0,25.0,0.0,0.0,30.0171,0.0,0.0,0.0,22.6019,28.3551,41.888
Roma,Ferrari,2023,ICE,8.0,3.9,Automatic (AM8),45489,4000.0,19.0,0.0,0.0,22.197,0.0,0.0,0.0,16.5726,20.6242,30.9245
S4,Audi,2023,ICE,6.0,3.0,Automatic (S8),45490,4250.0,24.0,0.0,0.0,29.5692,0.0,0.0,0.0,21.2588,26.6609,39.7856
CT4,Cadillac,2023,ICE,4.0,2.0,Automatic (S8),45499,4004.6875,27.0,0.0,0.0,33.7669,0.0,0.0,0.0,22.962,29.4,48.99
CT4 AWD,Cadillac,2023,ICE,4.0,2.0,Automatic (S8),45500,4004.6875,26.0,0.0,0.0,30.9153,0.0,0.0,0.0,22.3233,28.5,44.4
CT4,Cadillac,2023,ICE,4.0,2.7,Automatic (S10),45501,4004.6875,25.0,0.0,0.0,30.7898,0.0,0.0,0.0,21.3942,27.2,44.2
CT4 V,Cadillac,2023,ICE,4.0,2.7,Automatic (S10),45502,4004.6875,23.0,0.0,0.0,28.7015,0.0,0.0,0.0,19.7311,24.9,40.9
CT4 AWD,Cadillac,2023,ICE,4.0,2.7,Automatic (S10),45503,4004.6875,24.0,0.0,0.0,28.9563,0.0,0.0,0.0,20.8185,26.4,41.3
CT4 V AWD,Cadillac,2023,ICE,4.0,2.7,Automatic (S10),45504,4004.6875,23.0,0.0,0.0,28.0,0.0,0.0,0.0,20.0,26.0,40.6
CT4 V,Cadillac,2023,ICE,6.0,3.6,Automatic (S10),45505,4004.6875,19.0,0.0,0.0,24.1681,0.0,0.0,0.0,15.6519,19.4,33.9
CT4 V,Cadillac,2023,ICE,6.0,3.6,Manual 6-spd,45506,4004.6875,18.0,0.0,0.0,23.0223,0.0,0.0,0.0,15.4819,18.4,30.7
Mirage,Mitsubishi,2023,ICE,3.0,1.2,Manual 5-spd,45507,2458.333333333333,36.0,0.0,0.0,40.8484,0.0,0.0,0.0,33.419,44.9092,60.8039
Mirage,Mitsubishi,2023,ICE,3.0,1.2,Automatic (variable gear ratios),45508,2458.333333333333,39.0,0.0,0.0,43.3764,0.0,0.0,0.0,36.2431,49.3651,65.1714
Mirage G4,Mitsubishi,2023,ICE,3.0,1.2,Manual 5-spd,45509,2458.333333333333,35.0,0.0,0.0,40.0,0.0,0.0,0.0,33.1301,44.4601,60.402
Mirage G4,Mitsubishi,2023,ICE,3.0,1.2,Automatic (variable gear ratios),45510,2458.333333333333,37.0,0.0,0.0,41.3554,0.0,0.0,0.0,34.7856,47.0504,61.6732
Jetta,Volkswagen,2023,ICE,4.0,1.5,Manual 6-spd,45511,3312.5,34.0,0.0,0.0,42.0096,0.0,0.0,0.0,28.818,37.9,62.8
Jetta,Volkswagen,2023,ICE,4.0,1.5,Automatic (S8),45512,3312.5,35.0,0.0,0.0,41.4873,0.0,0.0,0.0,30.6798,40.7,61.9
Jetta Sport/SE/SEL,Volkswagen,2023,ICE,4.0,1.5,Automatic (S8),45513,3312.5,33.0,0.0,0.0,40.2606,0.0,0.0,0.0,29.0816,38.2935,59.8
S60 B5,Volvo,2023,HEV,4.0,2.0,Automatic (S8),45514,4333.333333333333,30.0,0.0,0.0,35.1195,0.0,0.0,0.0,26.1013,33.9,51.20000000000001
S60 B5 AWD,Volvo,2023,HEV,4.0,2.0,Automatic (S8),45515,4333.333333333333,28.0,0.0,0.0,33.0332,0.0,0.0,0.0,24.7171,31.899999999999995,47.79999999999999
S5 Sportback,Audi,2023,ICE,6.0,3.0,Automatic (S8),45516,4333.333333333333,24.0,0.0,0.0,29.5692,0.0,0.0,0.0,21.2588,26.6609,39.7856
RS 5 Sportback,Audi,2023,ICE,6.0,2.9,Automatic (S8),45517,5750.0,21.0,0.0,0.0,25.3233,0.0,0.0,0.0,17.7636,21.5497,34.7736
CT5 AWD,Cadillac,2023,ICE,4.0,2.0,Automatic (S10),45524,4333.333333333333,25.0,0.0,0.0,30.405600000000003,0.0,0.0,0.0,21.5635,27.4361,43.5892
CT5,Cadillac,2023,ICE,4.0,2.0,Automatic (S10),45525,4333.333333333333,27.0,0.0,0.0,33.095,0.0,0.0,0.0,22.8912,29.3,47.9
CT5,Cadillac,2023,ICE,6.0,3.0,Automatic (S10),45526,4333.333333333333,22.0,0.0,0.0,27.0344,0.0,0.0,0.0,19.0003,23.899999999999995,38.3
CT5 V,Cadillac,2023,ICE,6.0,3.0,Automatic (S10),45527,4333.333333333333,21.0,0.0,0.0,27.0344,0.0,0.0,0.0,18.0,23.899999999999995,38.3
CT5 AWD,Cadillac,2023,ICE,6.0,3.0,Automatic (S10),45528,4333.333333333333,21.0,0.0,0.0,25.9337,0.0,0.0,0.0,18.4859,23.2,36.6
CT5 V,Cadillac,2023,ICE,8.0,6.2,Manual 6-spd,45529,4333.333333333333,15.0,0.0,0.0,21.0982,0.0,0.0,0.0,12.802100000000001,15.300000000000002,26.3
S90 B6 AWD,Volvo,2023,HEV,4.0,2.0,Automatic (S8),45530,4750.0,26.0,0.0,0.0,31.5415,0.0,0.0,0.0,23.0328,29.5,45.4
Sonata Hybrid,Hyundai,2023,HEV,4.0,2.0,Automatic (AM-S6),45531,3678.819444444445,47.0,0.0,0.0,50.8517,0.0,0.0,0.0,44.6244,58.5,67.3
Sonata Hybrid Blue,Hyundai,2023,HEV,4.0,2.0,Automatic (AM-S6),45532,3678.819444444445,52.0,0.0,0.0,54.3055,0.0,0.0,0.0,50.0265,64.249,73.0889
X3 sDrive30i,BMW,2023,ICE,4.0,2.0,Automatic (S8),45535,4687.5,25.0,0.0,0.0,28.5889,0.0,0.0,0.0,22.5716,28.8492,40.7234
Kona N,Hyundai,2023,ICE,4.0,2.0,Automatic (AM-S8),45536,3677.777777777778,23.0,0.0,0.0,26.926599999999997,0.0,0.0,0.0,20.0067,24.115400000000005,35.8531
Sorento Hybrid FWD,Kia,2023,HEV,4.0,1.6,Automatic (AM-S6),45538,4420.833333333333,37.0,0.0,0.0,34.6889,0.0,0.0,0.0,39.239,54.0,49.8
XC60 B5,Volvo,2023,HEV,4.0,2.0,Automatic (S8),45539,4625.0,26.0,0.0,0.0,29.5912,0.0,0.0,0.0,23.2447,29.8,42.3
XC40 B4,Volvo,2023,HEV,4.0,2.0,Automatic (S8),45540,4416.666666666667,27.0,0.0,0.0,31.6665,0.0,0.0,0.0,23.6674,30.399999999999995,45.6
SQ5,Audi,2023,ICE,6.0,3.0,Automatic (S8),45541,4750.0,21.0,0.0,0.0,24.2996,0.0,0.0,0.0,18.7801,23.6,34.1
SQ5 Sportback,Audi,2023,ICE,6.0,3.0,Automatic (S8),45542,4750.0,21.0,0.0,0.0,24.2996,0.0,0.0,0.0,18.7801,23.6,34.1
Q3 S-Line,Audi,2023,ICE,4.0,2.0,Automatic (S8),45543,4250.0,24.0,0.0,0.0,27.9986,0.0,0.0,0.0,20.9627,26.6,39.8
X3 xDrive30i,BMW,2023,ICE,4.0,2.0,Automatic (S8),45544,4687.5,24.0,0.0,0.0,27.8627,0.0,0.0,0.0,21.3085,27.0807,39.5881
X3 M40i,BMW,2023,HEV,6.0,3.0,Automatic (S8),45545,4687.5,23.0,0.0,0.0,26.0813,0.0,0.0,0.0,21.499,27.3462,36.8272
X3 M,BMW,2023,ICE,6.0,3.0,Automatic (S8),45546,4687.5,17.0,0.0,0.0,20.153,0.0,0.0,0.0,14.9532,18.4775,27.8811
X3 M Competition,BMW,2023,ICE,6.0,3.0,Automatic (S8),45547,4687.5,17.0,0.0,0.0,20.153,0.0,0.0,0.0,14.9532,18.4775,27.8811
F-Pace SVR,Jaguar,2023,ICE,8.0,5.0,Automatic (S8),45554,4875.0,17.0,0.0,0.0,21.3781,0.0,0.0,0.0,15.1979,18.8472,29.7137
Sorento Hybrid AWD,Kia,2023,HEV,4.0,1.6,Automatic (AM-S6),45555,4420.833333333333,34.0,0.0,0.0,32.7787,0.0,0.0,0.0,35.5763,48.7,45.3
Grecale Trofeo,Maserati,2023,ICE,6.0,3.0,Automatic 8-spd,45556,4875.0,20.0,0.0,0.0,24.6536,0.0,0.0,0.0,17.7124,22.1534,34.5074
Grecale Modena,Maserati,2023,HEV,4.0,2.0,Automatic 8-spd,45557,4875.0,25.0,0.0,0.0,29.3909,0.0,0.0,0.0,22.2065,28.336,41.9841
Grecale GT,Maserati,2023,HEV,4.0,2.0,Automatic 8-spd,45558,4875.0,25.0,0.0,0.0,29.3909,0.0,0.0,0.0,22.2065,28.336,41.9841
XC60 B5 AWD,Volvo,2023,HEV,4.0,2.0,Automatic (S8),45559,4625.0,25.0,0.0,0.0,28.5101,0.0,0.0,0.0,22.6786,29.0,40.6
XC60 B6 AWD,Volvo,2023,HEV,4.0,2.0,Automatic (S8),45560,4625.0,23.0,0.0,0.0,26.9699,0.0,0.0,0.0,21.2505,27.0,38.2
XC40 B5 AWD,Volvo,2023,HEV,4.0,2.0,Automatic (S8),45561,4416.666666666667,26.0,0.0,0.0,29.844399999999997,0.0,0.0,0.0,22.962,29.399999999999995,42.70000000000001
X5 sDrive40i,BMW,2023,HEV,6.0,3.0,Automatic (S8),45562,5500.0,23.0,0.0,0.0,25.5284,0.0,0.0,0.0,21.1024,26.794,35.9773
Escalade 2WD,Cadillac,2023,ICE,6.0,3.0,Automatic 10-spd,45563,6750.0,23.0,0.0,0.0,26.9053,0.0,0.0,0.0,21.3942,27.2,38.1
Tahoe 2WD,Chevrolet,2023,ICE,6.0,3.0,Automatic 10-spd,45564,6000.0,24.0,0.0,0.0,27.5897,0.0,0.0,0.0,21.3942,27.2,39.1627
Suburban 2WD,Chevrolet,2023,ICE,6.0,3.0,Automatic 10-spd,45565,6500.0,23.0,0.0,0.0,26.9053,0.0,0.0,0.0,21.3942,27.2,38.1
Durango RWD,Dodge,2023,ICE,6.0,3.6,Automatic 8-spd,45566,5500.0,21.0,0.0,0.0,25.5432,0.0,0.0,0.0,18.8536,23.7,36.0
Yukon 2WD,GMC,2023,ICE,6.0,3.0,Automatic 10-spd,45567,6500.0,23.0,0.0,0.0,26.9053,0.0,0.0,0.0,21.3942,27.2,38.1
Yukon XL 2WD,GMC,2023,ICE,6.0,3.0,Automatic 10-spd,45568,6500.0,23.0,0.0,0.0,26.9053,0.0,0.0,0.0,21.3942,27.2,38.1
SQ7,Audi,2023,ICE,8.0,4.0,Automatic (S8),45570,5500.0,17.0,0.0,0.0,20.4043,0.0,0.0,0.0,14.3825,18.4612,28.5063
SQ8,Audi,2023,ICE,8.0,4.0,Automatic (S8),45571,5500.0,17.0,0.0,0.0,20.4043,0.0,0.0,0.0,14.3825,18.4612,28.5063
X5 xDrive40i,BMW,2023,HEV,6.0,3.0,Automatic (S8),45572,5500.0,23.0,0.0,0.0,25.3656,0.0,0.0,0.0,20.6925,26.2255,35.7276
X5 M50i,BMW,2023,ICE,8.0,4.4,Automatic (S8),45573,5500.0,18.0,0.0,0.0,21.6509,0.0,0.0,0.0,16.0447,19.921,30.1071
X5 M,BMW,2023,ICE,8.0,4.4,Automatic (S8),45574,5500.0,15.0,0.0,0.0,18.0892,0.0,0.0,0.0,13.1435,16.1143,24.851
X5 M Competition,BMW,2023,ICE,8.0,4.4,Automatic (S8),45575,5500.0,15.0,0.0,0.0,18.0892,0.0,0.0,0.0,13.1435,16.1143,24.851
X6 xDrive40i,BMW,2023,HEV,6.0,3.0,Automatic (S8),45576,5375.0,23.0,0.0,0.0,25.3656,0.0,0.0,0.0,20.6925,26.2255,35.7276
X6 M50i,BMW,2023,ICE,8.0,4.4,Automatic (S8),45577,5375.0,18.0,0.0,0.0,21.6509,0.0,0.0,0.0,16.0447,19.921,30.1071
X6 M,BMW,2023,ICE,8.0,4.4,Automatic (S8),45578,5375.0,15.0,0.0,0.0,18.0892,0.0,0.0,0.0,13.1435,16.1143,24.851
X6 M Competition,BMW,2023,ICE,8.0,4.4,Automatic (S8),45579,5375.0,15.0,0.0,0.0,18.0892,0.0,0.0,0.0,13.1435,16.1143,24.851
Escalade 4WD,Cadillac,2023,ICE,6.0,3.0,Automatic 10-spd,45580,6750.0,22.0,0.0,0.0,26.0,0.0,0.0,0.0,20.1673,25.5,38.8
Escalade V 4WD,Cadillac,2023,ICE,8.0,6.2,Automatic (S10),45581,6750.0,13.0,0.0,0.0,15.816,0.0,0.0,0.0,10.8722,13.2,22.5735
Tahoe 4WD,Chevrolet,2023,ICE,6.0,3.0,Automatic 10-spd,45582,6000.0,22.0,0.0,0.0,26.0,0.0,0.0,0.0,20.1673,25.5,38.8
Suburban 4WD,Chevrolet,2023,ICE,6.0,3.0,Automatic 10-spd,45583,6500.0,22.0,0.0,0.0,26.0,0.0,0.0,0.0,20.1673,25.5,38.8
Yukon XL 4WD,GMC,2023,ICE,6.0,3.0,Automatic 10-spd,45584,6500.0,22.0,0.0,0.0,26.0,0.0,0.0,0.0,20.1673,25.5,38.8
Yukon 4WD,GMC,2023,ICE,6.0,3.0,Automatic 10-spd,45585,6500.0,22.0,0.0,0.0,26.0,0.0,0.0,0.0,20.1673,25.5,38.8
XC90 B5 AWD,Volvo,2023,HEV,4.0,2.0,Automatic (S8),45589,5166.666666666667,25.0,0.0,0.0,28.1266,0.0,0.0,0.0,22.3233,28.5,40.0
XC90 B6 AWD,Volvo,2023,HEV,4.0,2.0,Automatic (S8),45590,5166.666666666667,22.0,0.0,0.0,25.9337,0.0,0.0,0.0,19.7308,24.899600000000003,36.6
UX 250h,Lexus,2023,HEV,4.0,2.0,Automatic (AV-S6),45605,3937.5,42.0,0.0,0.0,40.9422,0.0,0.0,0.0,43.0233,59.5,58.1496
UX 250h AWD,Lexus,2023,HEV,4.0,2.0,Automatic (AV-S6),45606,3937.5,39.0,0.0,0.0,38.0,0.0,0.0,0.0,41.2367,55.9496,54.8993
RS 7,Audi,2023,HEV,8.0,4.0,Automatic (S8),45607,5750.0,17.0,0.0,0.0,20.7594,0.0,0.0,0.0,14.2718,18.4237,28.9915
Venue,Hyundai,2023,ICE,4.0,1.6,Automatic (AV-S1),45608,3000.0,31.0,0.0,0.0,32.7368,0.0,0.0,0.0,29.3821,37.7482,49.5554
Q50,Infiniti,2023,ICE,6.0,3.0,Automatic (S7),45609,4187.5,23.0,0.0,0.0,29.274,0.0,0.0,0.0,20.0,26.0996,41.7998
Q50 AWD,Infiniti,2023,ICE,6.0,3.0,Automatic (S7),45610,4187.5,22.0,0.0,0.0,27.131,0.0,0.0,0.0,19.22,24.2,38.4499
Q50 Red Sport,Infiniti,2023,ICE,6.0,3.0,Automatic (S7),45611,4187.5,22.0,0.0,0.0,26.2255,0.0,0.0,0.0,19.585,24.6996,37.0494
Q50 Red Sport  AWD,Infiniti,2023,ICE,6.0,3.0,Automatic (S7),45612,4187.5,22.0,0.0,0.0,26.0308,0.0,0.0,0.0,19.0,24.645,36.7494
A8 L,Audi,2023,HEV,6.0,3.0,Automatic (S8),45613,5000.0,22.0,0.0,0.0,28.273,0.0,0.0,0.0,18.8536,23.7,39.8
RS 6 Avant,Audi,2023,HEV,8.0,4.0,Automatic (S8),45614,5750.0,17.0,0.0,0.0,20.7594,0.0,0.0,0.0,14.2718,18.4237,28.9915
X1 xDrive28i,BMW,2023,ICE,4.0,2.0,Automatic (AM-S7),45617,4000.0,28.0,0.0,0.0,33.6238,0.0,0.0,0.0,24.5902,31.7179,48.7574
Escalade 2WD,Cadillac,2023,ICE,8.0,6.2,Automatic 10-spd,45620,6750.0,16.0,0.0,0.0,19.3458,0.0,0.0,0.0,14.0,18.6331,28.9464
Tahoe 2WD,Chevrolet,2023,ICE,8.0,6.2,Automatic 10-spd,45621,6000.0,16.0,0.0,0.0,19.7142,0.0,0.0,0.0,14.0,19.0,29.5
Suburban 2WD,Chevrolet,2023,ICE,8.0,6.2,Automatic 10-spd,45622,6500.0,16.0,0.0,0.0,19.7142,0.0,0.0,0.0,14.0,19.0,29.5
Tahoe 2WD,Chevrolet,2023,ICE,8.0,5.3,Automatic 10-spd,45623,6000.0,17.0,0.0,0.0,20.0033,0.0,0.0,0.0,14.9069,19.4,29.6
Suburban 2WD,Chevrolet,2023,ICE,8.0,5.3,Automatic 10-spd,45624,6500.0,17.0,0.0,0.0,20.0033,0.0,0.0,0.0,14.9069,19.4,29.6
Yukon 2WD,GMC,2023,ICE,8.0,6.2,Automatic 10-spd,45625,6500.0,16.0,0.0,0.0,19.7142,0.0,0.0,0.0,14.0,19.0,29.5
Yukon XL 2WD,GMC,2023,ICE,8.0,6.2,Automatic 10-spd,45626,6500.0,16.0,0.0,0.0,18.5075,0.0,0.0,0.0,14.4373,17.8,27.687
