Region_code,CO2Rate,CH4Rate,N2ORate,CO2eRate,NOXRate,SO2Rate,GridLoss
AKGD,1114.4,0.098,0.013,1120.813,6.178,0.716,5.4
AKMS,549.312,0.026,0.004,551.276,8.103,0.71,5.4
AZNM,952.321,0.068,0.01,956.883,0.613,0.21,5.1
CAMX,453.209,0.033,0.004,455.251,0.432,0.041,5.1
ERCT,868.64,0.057,0.008,872.389,0.514,0.568,5.1
FRCC,861.028,0.055,0.007,864.535,0.311,0.165,5.1
HIMS,1185.595,0.143,0.022,1195.598,8.05,4.053,5.5
HIOA,1694.541,0.185,0.028,1707.576,3.746,6.974,5.5
MROE,1502.559,0.147,0.022,1512.599,0.829,0.446,5.1
MROW,1098.353,0.119,0.017,1106.448,0.817,1.062,5.1
NEWE,488.888,0.077,0.01,493.829,0.343,0.107,5.1
NWPP,715.241,0.068,0.01,719.873,0.64,0.419,5.1
NYCW,553.801,0.021,0.002,555.056,0.225,0.012,5.1
NYLI,1208.975,0.157,0.02,1218.93,0.92,0.164,5.1
NYUP,232.305,0.017,0.002,233.044,0.11,0.044,5.1
PRMS,1537.308,0.084,0.013,1543.34,3.52,3.24,5.1
RFCE,695.034,0.053,0.007,698.485,0.32,0.349,5.1
RFCM,1189.335,0.114,0.016,1196.997,0.661,1.039,5.1
RFCW,1067.679,0.099,0.014,1074.41,0.836,0.712,5.1
RMPA,1242.611,0.117,0.017,1250.553,0.67,0.384,5.1
SPNO,1069.971,0.112,0.016,1077.597,0.562,0.212,5.1
SPSO,1001.985,0.07,0.01,1006.722,0.708,0.764,5.1
SRMV,806.755,0.043,0.006,809.596,0.591,0.73,5.1
SRMW,1584.391,0.169,0.025,1595.941,1.005,2.358,5.1
SRSO,969.165,0.071,0.01,973.981,0.444,0.246,5.1
SRTV,949.695,0.087,0.013,955.587,0.476,0.586,5.1
SRVC,675.417,0.058,0.008,679.142,0.343,0.217,5.1