location,Year,per_cap_emission
US,1990,19.4
US,1991,19
US,1992,19
US,1993,19.2
US,1994,19.3
US,1995,19.2
US,1996,19.6
US,1997,20.3
US,1998,20.3
US,1999,20.1
US,2000,20.5
US,2001,20.2
US,2002,19.4
US,2003,19.5
US,2004,19.6
US,2005,19.5
US,2006,18.9
US,2007,19
US,2008,18.3
US,2009,16.8
US,2010,17.4
US,2011,16.6
US,2012,15.8
US,2013,16.1
US,2014,16
US,2015,15.6
US,2016,15.1
US,2017,14.8
US,2018,15.2
US,2019,14.7
US,2020,14.2
California,1990,16.4
California,1991,15.4
California,1992,15
California,1993,14.8
California,1994,15.3
California,1995,15
California,1996,14.8
California,1997,14.9
California,1998,15.2
California,1999,15.3
California,2000,13.6
California,2001,13.8
California,2002,13.6
California,2003,13.5
California,2004,13.6
California,2005,13.3
California,2006,13.1
California,2007,13.3
California,2008,13
California,2009,12.1
California,2010,11.9
California,2011,11.6
California,2012,11.4
California,2013,11.3
California,2014,11.1
California,2015,11
California,2016,10.6
California,2017,10.4
California,2018,10.4
California,2019,10.2
California,2020,9.3